Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.176373596
15575,Sparkleshell Belt,36,Armor,Mail,13493,2698,24027175,24346100,4,4,25385716,23279959,23474405,1,29739659,5185050,0.01,0.01,,
15576,Sparkleshell Sabatons,39,Armor,Mail,25869,5173,30610098,14249700,4,4,60295940,45816926,46270364,1,48920544,11177145,0.01,0.01,,
15577,Sparkleshell Bracers,36,Armor,Mail,13595,2719,118338182,113169700,3,3,150099376,60852680,58860326,1,119858254,2460325,0.01,0.01,,
15578,Sparkleshell Breastplate,41,Armor,Mail,40617,8123,47217789,48106300,4,4,50382973,45876904,39660722,2,56665712,19543604,0.01,0.01,,
15580,Sparkleshell Headwrap,40,Armor,Mail,28363,5672,32837944,33003200,6,6,26420330,34216755,34522818,1,34984297,6129151,0.01,0.01,,
15581,Sparkleshell Gauntlets,38,Armor,Mail,16396,3279,37618661,35794800,3,3,34600154,35371874,35000578,1,36759700,6327066,0.01,0.01,,
15582,Sparkleshell Legguards,40,Armor,Mail,38175,7635,15806953,5.00E+06,10,10,42848668,35400913,37645213,2,41470806,11580179,0.01,0.01,,
15583,Sparkleshell Shoulder Pads,41,Armor,Mail,30979,6195,10284629,3984500,8,8,21701526,29434491,27712894,1,27927322,3103034,0.01,0.01,,
15589,Steadfast Stompers,41,Armor,Mail,31666,6333,84243634,86286800,6,6,88996022,58884792,61737859,2,69249171,21981667,0.01,0.01,,
15590,Steadfast Bracelets,37,Armor,Mail,15692,3138,58988049,37444900,4,4,83297177,110585808,100544277,1,153142050,28797904,0.01,0.01,,
15591,Steadfast Breastplate,43,Armor,Mail,50984,10196,54687614,24990000,5,5,74304371,69818080,62757782,2,82764087,38191764,0.02,0.02,,
15593,Steadfast Coronet,42,Armor,Mail,32213,6442,28539357,35958000,2,2,31526517,31390858,33545620,1,32648479,15308359,0.01,0.01,,
15595,Steadfast Gloves,39,Armor,Mail,17309,3461,48491600,42266000,4,4,39303874,64026169,61841996,1,62833556,34923245,0.01,0.01,,
15596,Steadfast Legplates,41,Armor,Mail,40305,8061,186155854,193163400,2,2,124671262,96330118,98236569,2,101680594,39889224,0.02,0.02,,
15597,Steadfast Shoulders,42,Armor,Mail,32708,6541,29904707,29815400,5,5,38079464,29819483,33239775,2,30438028,13722690,0.01,0.01,,
15598,Steadfast Girdle,38,Armor,Mail,16212,3242,26950828,24623600,2,2,24189020,45682460,44733733,1,46224865,19566492,0.01,0.01,,
15599,Ancient Greaves,44,Armor,Mail,38439,7687,19838609,26805800,5,5,20037861,22925210,25578756,1,27373575,4967777,0.01,0.01,,
15600,Ancient Vambraces,42,Armor,Mail,22221,4444,395173204,481506400,2,2,240985780,123868898,108769879,2,203393961,1798822,0.01,0.01,,
