Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0.12400874
42546,Mana Injector Kit,80,Consumable,Explosives and Devices,5405,1351,3956856,0,0,0,4223739,2494755,3180754,29,5630121,243750,0.9,0.03,,
42641,Global Thermal Sapper Charge,75,Consumable,Explosives and Devices,20000,5000,0,0,0,0,0,4350526,6266883,15,2593039,5007,0,0,,
44739,Diamond-Cut Refractor Scope,75,Consumable,Explosives and Devices,140000,35000,16926468,17794400,7,3,1720252,2508782,2281040,5,3078128,1924559,0.2,0.04,,
47828,Goblin Beam Welder,80,Consumable,Explosives and Devices,1000,250,85680151,110773600,2,2,49001104,29629421,55337018,1,40542303,341250,0.04,0.04,,
48933,Wormhole Generator: Northrend,80,Consumable,Explosives and Devices,20000,5000,81966436,150007500,2,2,142017154,47136594,33959196,2,49311923,21448515,0.01,0.01,,
59594,Gnomish X-Ray Scope,85,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,99935886,122610132,1,111318310,47942862,0.02,0.02,,
59595,R19 Threatfinder,85,Consumable,Explosives and Devices,100000,25000,37067891,0,0,0,21354964,16890965,20589809,1,22243236,8375764,0.01,0.01,,
59596,Safety Catch Removal Kit,85,Consumable,Explosives and Devices,100000,25000,31507671,3.00E+07,8,2,44997231,13166186,13777996,2,13034208,3576403,0.01,0.01,,
60223,High-Powered Bolt Gun,85,Consumable,Explosives and Devices,90000,22500,8822465,0,0,0,59688461,22433564,26255553,1,40264852,13962196,0.02,0.02,,
60853,Volatile Seaforium Blastpack,81,Consumable,Explosives and Devices,3600,900,541438706,41300,10,1,11344550,7274408,5331790,14,6952087,319448,0.1,0.01,,
60854,Loot-A-Rang,85,Consumable,Explosives and Devices,90000,22500,56792332,68438500,4,4,83552799,96747279,112169785,2,105100572,66527240,0.07,0.07,,
63396,Big Daddy,85,Consumable,Explosives and Devices,3000,750,0,0,0,0,0,597194,779633,19,904346,0,0,0,,
70139,Flintlocke's Woodchucker,85,Consumable,Explosives and Devices,100000,25000,0,0,0,0,0,167701515,186307200,1,131302927,83132149,0.13,0.13,,
77529,Lord Blastington's Scope of Doom,90,Consumable,Explosives and Devices,100000,25000,99510861,99790000,5,3,65674550,46265014,46081819,2,50391833,51517669,0.07,0.07,,
77531,Mirror Scope,90,Consumable,Explosives and Devices,100000,25000,14940168,9999900,5,4,15714513,10262259,10345470,4,10842181,3905125,0.06,0.02,,
77532,Locksmith's Powderkeg,85,Consumable,Explosives and Devices,3600,900,195280491,0,0,0,159379556,32568494,30154521,9,55752380,952682,0.07,0.01,,
77589,G91 Landshark,90,Consumable,Explosives and Devices,0,2500,250233,190000,15,3,224674,259919,244763,17,247548,89056,0.42,0.03,,
87215,Wormhole Generator: Pandaria,90,Consumable,Explosives and Devices,20000,5000,43199215,44977500,1,1,47850957,75403232,83064554,1,72651236,40858958,0.03,0.03,,
87216,Thermal Anvil,90,Consumable,Explosives and Devices,0,250,81755,49900,13,13,150773,357746,272523,14,408903,231695,1.8,0.18,,
108745,Personal Hologram,1,Consumable,Explosives and Devices,0,300000,18246872,18248100,1,1,15495434,18324340,16260861,3,16020904,6774533,0.04,0.02,,
109120,Oglethorpe's Missile Splitter,100,Consumable,Explosives and Devices,120000,30000,4445000,0,0,0,2347303,10301957,9666141,1,10475731,6126913,0.03,0.03,,
109122,Megawatt Filament,100,Consumable,Explosives and Devices,1200000,300000,16200044,450000,1,1,31085635,8849115,8481101,2,10969194,7408251,0.02,0.02,,
109167,Findle's Loot-A-Rang,100,Consumable,Explosives and Devices,90000,22500,13580356,5005700,1,1,13327023,14656140,11777482,2,14644029,7162338,0.04,0.02,,
109183,World Shrinker,1,Consumable,Explosives and Devices,30000,7500,15926278,25001200,2,2,25377287,17056309,12649734,2,16183657,11531398,0.03,0.03,,
109253,Ultimate Gnomish Army Knife,90,Consumable,Explosives and Devices,9027,2256,378888,299800,11,11,842213,1387430,1103552,8,2212870,936477,1.89,0.27,,
109574,GUMM-E,1,Consumable,Explosives and Devices,16000,4000,30778560,27347100,1,1,27992163,29509301,37215169,1,35085901,17063531,0.03,0.03,,
111820,Swapblaster,1,Consumable,Explosives and Devices,300000,75000,30264731,31210200,9,9,43053845,26065516,29249134,3,27262166,17923290,0.16,0.08,,
112059,Wormhole Centrifuge,100,Consumable,Explosives and Devices,20000,5000,19862120,12765600,2,2,31353855,20360041,16596068,2,17482067,10395462,0.01,0.01,,
115511,Bizmo's Big Bang Boom Bomb,100,Consumable,Explosives and Devices,5000,250,0,0,0,0,0,5457421,8237500,7,3229377,0,0,0,,
115512,Gazlowe's Gargantuan Grenade,100,Consumable,Explosives and Devices,5000,250,0,0,0,0,0,25300,0,0,10238706,0,0,0,,
118007,Mecha-Blast Rocket,100,Consumable,Explosives and Devices,6000,1500,19994,15500,70,9,8432,44731,36713,38,38258,16431,1.5,0.06,,
118008,Hemet's Heartseeker,100,Consumable,Explosives and Devices,1200000,300000,14462606,18013000,2,2,11568207,7093857,7850367,2,6850796,2736180,0.02,0.02,,
132509,Deployable Bullet Dispenser,80,Consumable,Explosives and Devices,4000,1000,120203024,0,0,0,94374995,21025805,24285680,5,19005466,9512955,0.06,0.02,,
132510,Gunpowder Charge,85,Consumable,Explosives and Devices,3000,750,1585695,51100,70,2,356615,2119937,1842402,43,2926075,816571,0.9,0.02,,
132511,Pump-Action Bandage Gun,110,Consumable,Explosives and Devices,3000,750,81250412,50001100,1,1,65738762,19312498,31374499,4,30924647,31825077,0.07,0.07,,
132513,Gunpack,105,Consumable,Explosives and Devices,3500,875,21415273,20881500,4,1,29107252,17492865,18098478,6,16988476,13467261,0.35,0.05,,
132514,Auto-Hammer,105,Consumable,Explosives and Devices,3500,875,6123493,7131000,7,3,5228324,5930310,6026609,130,5604895,3439861,21.84,0.21,,
132515,Failure Detection Pylon,105,Consumable,Explosives and Devices,3500,875,741855,0,0,0,746289,2681455,2384889,19,2278686,616001,0.34,0.02,,
132516,Gunshoes,105,Consumable,Explosives and Devices,3500,875,3872143,3001300,10,1,3330305,6276174,6547841,43,5546877,2351601,2.73,0.07,,
132517,Intra-Dalaran Wormhole Generator,105,Consumable,Explosives and Devices,3500,875,371326522,0,0,0,309949993,131111160,133984254,1,174799893,17547504,0.01,0.01,,
132518,Blingtron's Circuit Design Tutorial,105,Consumable,Explosives and Devices,3500,875,86548030,0,0,0,114366629,59722332,65303239,2,60601310,42791136,0.08,0.04,,
132519,Trigger,105,Consumable,Explosives and Devices,3500,875,627164483,635316600,1,1,533027899,254325951,262674028,1,252372333,37106672,0.01,0.01,,
132524,Reaves Module: Wormhole Generator Mode,105,Consumable,Explosives and Devices,3500,875,1347047372,1.50E+09,1,1,1512756331,538972689,585196378,1,535957950,102258169,0.04,0.04,,
132525,Reaves Module: Repair Mode,105,Consumable,Explosives and Devices,3500,875,134394516,0,0,0,221799020,207055380,211879806,1,253175384,83253487,0.02,0.02,,
132526,Reaves Module: Failure Detection Mode,105,Consumable,Explosives and Devices,3500,875,233197956,0,0,0,222107764,192446342,217602182,1,179558120,81519826,0.02,0.02,,
132528,Reaves Module: Fireworks Display Mode,105,Consumable,Explosives and Devices,3500,875,287962203,300783300,1,1,216005868,260782023,249785403,1,190275815,126594011,0.04,0.04,,
132530,Reaves Module: Bling Mode,105,Consumable,Explosives and Devices,3500,875,0,0,0,0,1023935358,349098772,417567762,1,363612953,224416641,0.03,0.03,,
132531,Reaves Module: Piloted Combat Mode,105,Consumable,Explosives and Devices,3500,875,0,0,0,0,0,4936643530,4266209480,1,3355665978,350002179,0,0,,
136851,Commander Domitille's Helm,1,Consumable,Explosives and Devices,0,0,0,0,0,0,3503442900,113183023,1.10E+08,1,2445894617,0,0,0,,
151652,Wormhole Generator: Argus,110,Consumable,Explosives and Devices,0,5000,10007500,0,0,0,71459732,26256662,43011635,2,30920083,20639141,0.03,0.03,,
153487,Organic Discombobulation Grenade,1,Consumable,Explosives and Devices,0,0,431125,2.00E+05,150,14,339234,610188,367637,75,198992,70082,5.59,0.13,,
153490,F.R.I.E.D.,1,Consumable,Explosives and Devices,0,0,599323,3.00E+05,536,26,441215,402431,226485,105,328674,126279,12.6,0.18,,
153494,Thermo-Accelerated Plague Spreader,1,Consumable,Explosives and Devices,0,0,195485,70000,193,10,943826,216295,111688,44,263011,118367,3.9,0.13,,
153510,Interdimensional Companion Repository,1,Consumable,Explosives and Devices,0,0,594984,550000,20,5,783311,1473305,1458932,23,1466921,703736,0.76,0.04,,
153512,XA-1000 Surface Skimmer,1,Consumable,Explosives and Devices,12500,3125,357832,29000,49,8,1619475,1015079,619050,19,1372325,281407,1.54,0.11,,
153573,Electroshock Mount Motivator,1,Consumable,Explosives and Devices,0,0,892406,445500,49,49,1600290,1963102,1839565,13,1478757,778488,1.08,0.12,,
153597,Deployable Attire Rearranger,1,Consumable,Explosives and Devices,0,0,105367,40000,78,15,204302,324471,305215,62,261440,146516,4.18,0.11,,
158212,Crow's Nest Scope,110,Consumable,Explosives and Devices,1200000,50000,1577346,4.00E+05,43,6,1374653,4029186,4516809,25,3120087,1457059,6.24,0.26,,
158327,Monelite Scope of Alacrity,100,Consumable,Explosives and Devices,120000,30000,246779,190000,69,8,358397,1010323,631828,35,1053141,443440,1.26,0.06,,
158379,Unstable Temporal Time Shifter,1,Consumable,Explosives and Devices,0,0,218832,190000,41,5,694895,1311840,1071555,88,1270146,595645,4.56,0.08,,
159827,Bomb-samdi Mojo Bombs,110,Consumable,Explosives and Devices,0,0,36855,35000,69,7,53194,84572,68975,32,113184,18578,0.5,0.02,,
160560,Piece of Wreckage,1,Consumable,Explosives and Devices,0,2,0,0,0,0,0,169,100,6,131,0,0,0,,
163558,Sporonite Bomb,120,Consumable,Explosives and Devices,469000,10000,19642622,0,0,0,23853563,26812234,41579528,2,33761473,14401098,0.05,0.05,,
168807,Wormhole Generator: Kul Tiras,120,Consumable,Explosives and Devices,20000,5000,2219209,1998900,23,23,10432388,5232066,3510395,8,6312184,1576416,0.2,0.04,,
168808,Wormhole Generator: Zandalar,120,Consumable,Explosives and Devices,20000,5000,8709753,7100000,42,42,12600653,6423610,4452410,7,8155760,2442314,0.12,0.03,,
169858,"""Bee Bee"" Gun",1,Consumable,Explosives and Devices,0,1,94651,95100,1,1,294279,2380887,1823370,6,1701749,212929,0.32,0.04,,
118,Minor Healing Potion,5,Consumable,Potion,20,5,54129,62100,143,10,26405,40855,27639,28,51356,13285,2.09,0.11,,
858,Lesser Healing Potion,13,Consumable,Potion,100,25,13997,20000,150,5,10564,24260,16865,29,28487,16189,1.54,0.07,,
929,Healing Potion,22,Consumable,Potion,300,75,18159,10000,112,6,24224,25705,20431,22,37013,14168,2.04,0.12,,
