Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
112302,Ace of the Moon,100,Quest,Quest,120000,30000,0,0,0,0,999950,20198249,16611636,3,15847913,0,0,0,,
112303,Iron Deck,137,Quest,Quest,200000,50000,0,0,0,0,95447246,39872564,41702229,2,46190348,0,0,0,,
112304,Moon Deck,137,Quest,Quest,200000,50000,0,0,0,0,468736486,58747870,64851297,2,57015934,0,0,0,,
112305,Visions Deck,137,Quest,Quest,200000,50000,0,0,0,0,341845188,52678386,55562538,3,48097062,0,0,0,,
112306,War Deck,137,Quest,Quest,200000,50000,0,0,0,0,526000214,59097388,55601030,3,51856968,0,0,0,,
113135,Iron Joker,100,Quest,Quest,120000,30000,26811188,0,0,0,82388073,64016459,46881027,2,76954063,0,0,0,,
113139,Visions Joker,100,Quest,Quest,120000,30000,0,0,0,0,482962020,105351888,82400064,2,202259506,0,0,0,,
113140,War Joker,100,Quest,Quest,120000,30000,0,0,0,0,0,229077728,233488532,2,263400041,0,0,0,,
113142,Moon Joker,100,Quest,Quest,120000,30000,0,0,0,0,0,165115119,150931869,2,243885453,0,0,0,,
122190,Ring of Blood Invitation,1,Quest,Quest,0,0,244963534,273533800,1,1,298242020,142532773,135841236,2,173242909,0,0,0,,
124024,Leystone Armor Stand,1,Quest,Quest,50000,12500,0,0,0,0,0,246417839,194511533,1,537873900,0,0,0,,
127368,Bolt of Brimstone-Soaked Silkweave,1,Quest,Quest,0,0,0,0,0,0,1613567372,1453153819,984203487,1,764188210,0,0,0,,
128713,Eight of Immortality,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,69626396,74254965,2,68756215,0,0,0,,
128714,Seven of Immortality,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,102369967,113436577,1,130320610,0,0,0,,
128715,Six of Immortality,110,Quest,Quest,0,30000,0,0,0,0,0,110038498,166770880,2,143993791,0,0,0,,
128716,Four of Immortality,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,204403914,186596710,2,204519270,0,0,0,,
128717,Five of Immortality,110,Quest,Quest,0,30000,0,0,0,0,0,104450632,125360050,1,120952103,0,0,0,,
128718,Three of Immortality,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,120008867,240673594,2,129262343,0,0,0,,
128719,Two of Immortality,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,81709386,111221482,1,92350657,0,0,0,,
128720,Ace of Immortality,110,Quest,Quest,0,1,0,0,0,0,5.00E+07,102366212,101163851,1,124682006,0,0,0,,
128721,Eight of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,46471712,69363741,2,77309450,0,0,0,,
128722,Seven of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,121546156,144537653,2,128870421,0,0,0,,
128723,Six of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,295250531,321295116,2,216065946,0,0,0,,
128724,Five of Promises,110,Quest,Quest,0,30000,0,0,0,0,29999900,78412667,103034185,1,109994186,0,0,0,,
128725,Four of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,88237830,99936227,2,90033605,0,0,0,,
128726,Three of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,54573855,67590723,2,79353050,0,0,0,,
128727,Two of Promises,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,168486825,158741460,2,136328586,0,0,0,,
128728,Ace of Promises,110,Quest,Quest,0,30000,0,0,0,0,0,50228146,56612096,2,86022489,0,0,0,,
128729,Eight of Dominion,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,81321545,74119807,2,103236887,0,0,0,,
128730,Seven of Dominion,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,84409440,108110885,2,97740305,0,0,0,,
128731,Six of Dominion,110,Quest,Quest,0,30000,9308778100,0,0,0,7701186510,145865955,146921082,2,203897487,0,0,0,,
128732,Five of Dominion,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,70988108,93489248,2,81246719,0,0,0,,
128733,Four of Dominion,110,Quest,Quest,0,30000,0,0,0,0,5.00E+07,115949123,80119234,2,82699015,0,0,0,,
128734,Three of Dominion,110,Quest,Quest,0,30000,0,0,0,0,0,87130682,76387657,2,99373924,0,0,0,,
128735,Two of Dominion,110,Quest,Quest,0,30000,0,0,0,0,0,78067717,86433589,2,98937802,0,0,0,,
128736,Ace of Dominion,110,Quest,Quest,0,30000,0,0,0,0,0,63942998,74782903,2,113512373,0,0,0,,
